,Minutes,Players
0,1,"Egbuna,Toby"
1,1,"Dalton,Spenser"
2,1,"Coker,Kanler"
3,1,"Williams,Kenny"
4,3,"Rafferty,Kevin"
5,2,"Lowe,Henry"
6,3,"Cole,C.J."
7,1,"Goss,Collin"
8,3,"Roland,Jordan"
9,1,"Goss,Collin"
10,1,"U'u,Parker"
11,1,"Perez,Ben"
12,1,"Williams,D'Erryl"
13,1,"Highsmith,Dontel"
14,1,"Rodriguez,Kaileb"
15,1,"Williams,Treshaad"
16,3,"Olujobi,Femi"
17,6,"Law,Aaron"
18,5,"Pfleuger,Rex"
19,2,"Ryan,Matt"
20,2,"Niego,Harrison"
21,1,"Priller,Tim"
22,1,"Tharp,Jackson"
23,1,"Maye,Luke"
24,1,"Dalton,Spenser"
25,1,"Coleman,Justin"
26,1,"Coker,Kanler"
27,1,"White,Stilman"
28,3,"Miller,Tavario"
29,1,"Robinson,Mike"
30,1,"Stowell,Chris"
31,1,"Lowe,Henry"
32,1,"Rafferty,Kevin"
33,5,"Law,Aaron"
34,1,"Castlin,Kyle"
35,1,"Swan,Anthony"
36,3,"Williams,Tiremone"
37,1,"Sinnickson,Dylan"
38,1,"Rodriguez,Kaileb"
39,1,"Botteri,Justin"
40,1,"Stivrins,Lucas"
41,1,"Gollon,James"
42,1,"Porter,Franklin"
43,1,"Joseph,Max"
44,1,"Roland,Jordan"
45,1,"Johnson,Brandon"
46,3,"Jenkins,Chris"
47,2,"Jorgenson,Travis"
48,1,"Odomes,Rashard"
49,2,"Baumann,Javon"
50,2,"Porter,Franklin"
51,2,"Friedman,Ted"
52,1,"Knar,Robert"
53,1,"Ellingson,Brady"
54,1,"Ukah,Okey"
55,1,"Soukup,Steven"
56,1,"Farrell,Patrick"
57,1,"Lowe,Henry"
58,1,"Rafferty,Kevin"
59,3,"Law,Aaron"
60,1,"Holmes Jr.,Kevin"
61,1,"Albert,Malik"
62,1,"Burns,Deondre"
63,2,"Ashton,Jordan"
64,1,"Carter,Simeon"
65,1,"Matthews,Charles"
66,2,"Palmer,James"
67,1,"Planek,Tom"
68,1,"Maye,Luke"
69,1,"Egbuna,Toby"
70,1,"Dalton,Spenser"
71,1,"White,Stilman"
72,1,"Williams,Kenny"
73,2,"Triano,Dustin"
74,2,"Eastman,Austin"
75,6,"Nolte,Evan"
76,1,"Wehrli,Bobby"
77,2,"Alston,Shawn"
78,10,"Brantley,Jaylen"
79,7,"Hollins,Justin"
80,1,"Barnes,Bray"
81,2,"McNeace,Jamuni"
82,1,"Odomes,Rashard"
83,3,"Kennedy,Thomas"
84,3,"Rielly,Patrick"
85,1,"Friedman,Ted"
86,3,"Brown,Anthony"
87,1,"Aparicio,Juan"
88,2,"Zilli,Giacomo"
89,2,"Rafferty,Kevin"
90,2,"Romeo,Richard"
91,2,"Smith,Sterling"
92,1,"Coker,Kevin"
93,1,"Bergen,Alex"
94,1,"Stainbrook,Tim"
95,5,"Ghani,Khaliq"
96,6,"Brent,Javeres"
97,2,"Stancil,Troy"
98,1,"White,Jackson"
99,3,"Burton,Ryan"
100,1,"Niego,Harrison"
101,2,"Budrys,Domas"
102,2,"Young,Clay"
103,1,"Nyama,Roland"
104,1,"Floreal,E.J."
105,1,"David,Jonny"
106,1,"Rakicevic,Nikola"
107,1,"Mahoney,Dolan"
108,1,"White,Stilman"
109,1,"Maye,Luke"
110,1,"Egbuna,Toby"
111,1,"Dalton,Spenser"
112,1,"Coleman,Justin"
113,1,"Beach,Jack"
114,1,"Alberts,Bryan"
115,1,"Dowdy Jr.,Michael"
116,1,"Anderson,Braeden"
117,1,"Fazekas,Ryan"
118,4,"Madison,Tyler"
119,1,"Love,Lionel"
120,1,"Guinn,Davin"
121,1,"Aytes,Jamal"
122,1,"Shaw,Braiden"
123,4,"Toriola,Moses"
124,2,"Keenan,Ryan"
125,1,"King,Scott"
126,1,"Hill,Matt"
127,1,"Smith,Steve"
128,2,"Bunting,Jesse"
129,7,"Knowles,Danrad"
130,1,"Dupree,Xavier"
131,1,"VanBeck,Wes"
132,1,"Rowland,Rand"
133,1,"Bloom,David"
134,1,"Pillari,Daniel"
135,2,"Rodriguez,Kaileb"
136,1,"Anderson,Juwan"
137,6,"Shustov,Vlad"
138,1,"Patterson,Trey"
139,3,"Idris,Teslim"
140,7,"Spurgeon,Jake"
141,4,"Clair,Manroop"
142,1,"Liggeons,Devin"
143,3,"Tyson,Jordan"
144,3,"Rayner,Khyan"
145,3,"Law,Aaron"
146,1,"Schaffer,Lawson"
147,1,"Stewart,Marlon"
148,2,"Taylor,Roderick"
149,3,"Odum,Karlos"
150,2,"Dauda,Ismaila"
151,1,"Driscoll,Chase"
152,1,"Gonzalez,Stefan"
153,1,"Poulter,Andrew"
154,9,"Fisher,Evan"
155,2,"Gooding,Dexter"
156,1,"Wamukota,Bush"
157,3,"Justice,Camron"
158,1,"Ljeskovic,Uros"
159,3,"Love,Marcus"
160,8,"Ruttley,Jermaine"
161,1,"McDowell,Jake"
162,1,"Scott,Dante"
163,1,"Noyes,Mike"
164,1,"Foxen,Christian"
165,1,"Hawkins,Dominique"
166,1,"Clover,Chris"
167,1,"Casper,Brendan"
168,4,"Kadiri,David"
169,1,"Baumann,Javon"
170,1,"Stancil,Troy"
171,1,"Floreal,E.J."
172,3,"Brantley,Jaylen"
173,2,"Richmond,Phil"
174,1,"Bittner,Sam"
175,3,"Juricek,Viktor"
176,1,"Shortess,Henry"
177,1,"Distefano,T.J."
178,1,"Byers,Frank"
179,1,"Aparicio,Juan"
180,2,"Nzei,Michael"
181,1,"Williams,Matt"
182,3,"Burston,Torey"
183,2,"Miller,Sam"
184,2,"Bittner,Sam"
185,2,"Oliver,T.J."
186,2,"Nkali,Bertrand"
187,1,"Davis,Bennett"
188,2,"Stancil,Troy"
189,2,"Schaffer,Lawson"
190,3,"Matthews,Charles"
191,1,"Floreal,E.J."
192,2,"Epps,Devin"
193,2,"Marlin,Matt"
194,1,"Broussard,Jacob"
195,3,"Bridgewater,Brian"
196,3,"Hammond,Jake"
197,1,"Ram,Varun"
198,1,"Cekovsky,Michal"
199,2,"Mijovic,Milan"
200,3,"Torres,Austin"
201,1,"Dalton,Spenser"
202,4,"Jordan,Aaron"
203,2,"Austin,Alex"
204,1,"Liss,Cameron"
205,3,"Hart,Matt"
206,3,"Baumann,Javon"
207,1,"Jackson II,William"
208,3,"Martinez,Cole"
209,1,"Evans,Austin"
210,1,"Miller,Rayshawn"
211,1,"Brooks,Doug"
212,1,"Hunter,Marlon"
213,1,"Love,Lionel"
214,3,"Idris,Teslim"
215,2,"Felder,Isaiah"
216,1,"Friend,Devon"
217,8,"Okoroh,Kingsley"
218,1,"Saprykinas,Haroldas"
219,1,"Troutt,Grant"
220,2,"Lewis,O.J."
221,4,"Michelsen,Oskar"
222,2,"Williams,Matt"
223,1,"Giamoukis,Manu"
224,1,"Faines,Kamau"
225,2,"Francis-Ramirez,Brandone"
226,4,"Moran,John"
227,3,"Watson,Paul"
228,1,"West,D'Angelo"
229,1,"Enos,Dyrbe"
230,6,"Wagner,Ahmad"
231,3,"Taylor,Kenneth"
232,1,"Thomas,Jonathan"
233,1,"Schoen,Mason"
234,1,"Manning,Evan"
235,1,"Young,Clay"
236,3,"Gomez,Primitivo"
237,4,"Vassor,Stephen"
238,1,"Phillips,Joshua"
239,1,"Jackson,Trevis"
240,1,"Boehning,Bryden"
241,3,"Kuiper,Dane"
242,1,"Dalton,Spenser"
243,1,"Coleman,Justin"
244,1,"White,Stilman"
245,4,"Laster,Mike"
246,1,"McDonald,Jaylin"
247,1,"Frayer,Sam"
248,1,"Crabtree,Drew"
249,4,"James,Christian"
250,2,"Davis,Jackson"
251,2,"Edwards,Drew"
252,3,"Harrell,Ronnie"
253,1,"Smith,Joseff"
254,1,"Andrews,Rashad"
255,1,"Smith,Patrick"
256,1,"Pierre-Louis,Thomas"
257,1,"Williams,Riyan"
258,1,"Jorgenson,Travis"
259,1,"Reuter,Jarred"
260,1,"Jones,Jeff"
261,1,"Anim,Sacar"
262,3,"Franks,Robert"
263,2,"Stalzer,Eli"
264,1,"Lombard,Mitch"
265,1,"Lewis,O.J."
266,1,"Dolins,Cory"
267,1,"Barry,Oumar"
268,5,"Mitchell,Akim"
269,3,"Zignorski,Matt"
270,3,"Banner,Devonte"
271,2,"Vassor,Stephen"
272,1,"Shaw,Martin"
273,3,"Smith,Sterling"
274,1,"Avery,Travis"
275,3,"Ali,Prince"
276,1,"Marquetti,Malik"
277,1,"Jackson,Zachary"
278,3,"Dry,Dalton"
279,2,"Jackson,Jordan"
280,1,"Saxton,Michael"
281,1,"Hanson,Josh"
282,1,"Bowman,Greg"
283,13,"Cox,Austin"
284,3,"Reid,Kyle"
285,2,"Jackson,Trevis"
286,4,"Madison,Ausar"
287,4,"Mangham,Solomon"
288,4,"Ellison,Oliver"
289,1,"VanHorn,Trent"
290,2,"Gonzalez,Stefan"
291,5,"Ishola,Brian"
292,1,"Devine,Connor"
293,1,"Ernsthausen,Parker"
294,11,"Brownlee,Lucian"
295,7,"Armstrong,Derek"
296,2,"Doby,Khary"
297,1,"Reese,Nick"
298,6,"Dorsey-Walker,Sherron"
299,2,"Keenan,Ryan"
300,1,"Porter,Franklin"
301,1,"Biebel,Jack"
302,1,"Fay,Jake"
303,1,"Plousis,Mark"
304,1,"Kennedy,Thomas"
305,1,"Benzan,Pat"
306,1,"Mumin,Djordjije"
307,3,"McDowell,Jake"
308,1,"Bryant,Grant"
309,4,"Tucker,Rayjon"
310,1,"Sinn,Grant"
311,2,"Paquin,Alex"
312,1,"Pillari,Daniel"
313,4,"Sherwood,Dylan"
314,3,"Hammond,Jake"
315,2,"Bryant,Trae"
316,1,"Pickett,Adam"
317,2,"Juricek,Viktor"
318,4,"Ocwieja,Jack"
319,1,"Onwudiegwu,Malachy"
320,3,"O'Boyle,Matt"
321,2,"Gregory,Jamall"
322,3,"Routt,Logan"
323,1,"Heard,John"
324,1,"McGillan,Riley"
325,1,"Davis,Lyles"
326,3,"Anim,Sacar"
327,2,"Pettus,Trey"
328,2,"Bennett,Steven"
329,1,"Geyen,Darryl"
330,4,"Smith,Brandon"
331,1,"Christensson,Albert"
332,2,"Hunt,Gentry"
333,1,"Forbes,Jackson"
334,1,"LeBlanc,Mike"
335,1,"Stones,Michael"
336,1,"Williams,Matt"
337,3,"Crosby,John"
338,4,"Nzei,Michael"
339,3,"Gibson,Ty"
340,3,"Ferris,Will"
341,1,"Canty,Ryan"
342,2,"Jean,Jonathan"
343,1,"Hallinan,Xavier"
344,2,"Beach,Jack"
345,1,"Bakamus,Rem"
346,2,"Hamilton,Tyler"
347,2,"McManus,Collin"
348,1,"Dragovic,Balsa"
349,1,"Yoshor,Zach"
350,1,"Gooding,Dexter"
351,1,"Whitehead,Jordan"
352,2,"Mayot,Duol"
353,2,"Sparks,Austin"
354,2,"Mulder,Mychal"
355,2,"Matthews,Charles"
356,5,"Jones,Branford"
357,4,"Marlin,Matt"
358,1,"Plaisance,Scott"
359,1,"Bell,David"
360,1,"Bess,Javon"
361,1,"Van Dyk,Matt"
362,1,"Ahrens,Kyle"
363,5,"Johnson,Todd"
364,3,"Bryant,Jared"
365,2,"Rosenwinkel,Matt"
366,1,"Prahl,Alex"
367,1,"Studer,Dan"
368,1,"Tyler,Scotty"
369,1,"Blackstock,Cole"
370,1,"Walker,Jonathan"
371,1,"Holmes,Carter"
372,1,"Poole,Will"
373,2,"Avery,Travis"
374,1,"Mbodj,Lamine"
375,1,"Jiles,Matthew"
376,2,"Reid,Malcom"
377,1,"Batie,Khalil"
378,3,"Spiers,Joshua"
379,5,"Landale,Jock"
380,1,"Smith,JaQuan"
381,2,"Clark,Darion"
382,2,"Chambers,Tyree"
383,1,"Campbell,Lucas"
384,1,"Woodson,Brad"
385,7,"Variste,Jalen"
386,2,"London,Malik"
387,2,"Cressler,Nolan"
388,1,"Ariri,Aaron"
389,1,"Scruggs,Terrell"
390,2,"Mbachu,Victor"
391,1,"Epps,Devin"
392,1,"Evans,Austin"
393,1,"Ulvydas,Rokas"
394,5,"Bittner,Sam"
395,1,"Moore,Grayson"
396,1,"Mourning,Trey"
397,1,"Farrell,Patrick"
398,1,"Lowe,Henry"
399,1,"Rafferty,Kevin"
400,1,"Reuter,Jarred"
401,1,"Salt,Jack"
402,1,"Jones,Jeff"
403,2,"Stowell,Chris"
404,1,"Donlon,Greg"
405,1,"Galloway,Matt"
406,1,"Luckett,Leantwan"
407,1,"Sadlon,Hunter"
408,1,"Hill,Mitch"
409,2,"Busuttil,Brandon"
410,3,"Fox,Matt"
411,5,"Klein,Jared"
412,5,"McComber,Chris"
413,3,"Davis,CJ"
414,3,"Edwards,AJ"
415,3,"Kundrotas,Karolis"
416,1,"Luther,Collin"
417,1,"Young,Aaron"
418,3,"Chatfield,Andre"
419,1,"Burge,Al"
420,1,"Westrop,Saren"
421,1,"Nwokeabia,Benjamin"
422,1,"Bessick,Taylor"
423,3,"Hayes,Matt"
424,1,"Spiers,Joshua"
425,2,"Vucica,Jere"
426,1,"Pillari,Daniel"
427,7,"Hiepler,Ryan"
428,1,"Atencia,Hansel"
429,4,"Wells,Nate"
430,2,"Burton,Joe"
431,1,"Bitting,Ty'Quan"
432,1,"Rogers,Nick"
433,1,"Sadlon,Hunter"
434,1,"Turnage,Xavion"
435,2,"O'Field,Maurice"
436,2,"Chambers,Kamali"
437,1,"Milligan,Boo"
438,2,"Gibson,Ty"
439,1,"Love,Lionel"
440,4,"Douglas,Michael"
441,1,"Perrin,Casey"
442,4,"Romich,Drew"
443,1,"Smith,Charles"
444,1,"Belton,Isaac"
445,2,"Auslander,Kent"
446,1,"Allen,Nate"
447,1,"Jones,Martin"
448,1,"Driscoll,Chase"
449,1,"Poole,Will"
450,1,"Cambre,Cody"
451,1,"Zemgulis,Deividas"
452,3,"Twombly,Brady"
453,2,"Gonzalez,Kyle"
454,1,"Lydon,Chris"
455,1,"Sunahara,Rex"
456,1,"Temkin,Rory"
457,1,"Fortin,Marc Andre"
458,2,"Spicer,Johnathan"
459,4,"Wilridge,E'Torrion"
460,4,"Stroman,Marcus"
461,1,"Martin,Jeremiah"
462,2,"Aflakpui,Ernest"
463,1,"Ottman,Damion"
464,1,"Julien,Courtney"
465,1,"Dalton,Keifer"
466,2,"Davis,Jackson"
467,2,"Henderson,Malcolm"
468,2,"Oliver,T.J."
469,1,"Haus,David"
470,1,"Foschia,Nick"
471,1,"Rhoden,Dondre"
472,1,"Campbell,Ountae"
473,1,"Shell,Grant"
474,3,"Moesch,Aaron"
475,1,"Schlundt,T.J."
476,1,"Lukashewich,Mike"
477,6,"Schurman,John"
478,1,"McNamara,Pat"
479,4,"Burgett,Austin"
480,1,"Geben,Martinas"
481,1,"Obasohan,Justice"
482,1,"Bost,Drew"
483,1,"Robbins,Peyton"
484,1,"David,Justin"
485,1,"Gavrilovic,Strahinja"
486,1,"Grace,Ben"
487,9,"Mitchell,Kameron"
488,7,"Thrower,Deshaun"
489,1,"Budrys,Domas"
490,2,"Henderson,Markell"
491,1,"Hansbrough,Tre"
492,1,"Ward,C.J."
493,2,"Urso,David"
494,1,"Sinnickson,Dylan"
495,6,"Frederick,Andre"
496,1,"Bowman,Greg"
497,3,"Ulvydas,Rokas"
498,1,"Norman,Dane"
499,1,"Taylor,Doug"
500,4,"Pierre,Josh"
501,2,"Walker,Jonathan"
502,2,"Allison,Zach"
503,1,"Blackstock,Cole"
504,5,"Rakicevic,Nikola"
505,4,"Smith,Josh"
506,3,"Matthews,Charles"
507,2,"Rudy,Michael"
508,3,"Goss,Collin"
509,1,"Jones,Marvin"
510,1,"Avery,Jalen"
511,1,"Benzan,Pat"
512,2,"Tuohy Jr.,Sean"
513,2,"Cohen III,Sandy"
514,3,"Musters,Nathaniel"
515,1,"Eifert,Grady"
516,1,"Toyra,Stephen"
517,4,"McVeigh,Jack"
518,2,"Perez,Ben"
519,1,"Edwards,Blake"
520,1,"Odum,Karlos"
521,1,"Maston,Terry"
522,3,"Gonzalez,Stefan"
523,1,"McCrea,Maljhum"
524,1,"Austin,Courtney"
525,1,"McGloin,Phillip"
526,2,"Phillips,Develle"
527,2,"Hanel,Joe"
528,2,"Farrell,Patrick"
529,2,"Reese,Nick"
530,2,"Doby,Khary"
531,9,"Sanders,John"
532,2,"Whitfield,Dwain"
533,6,"Williams,Kyle"
534,1,"Hortum,Ugur"
535,1,"McElroy,Codey"
536,1,"Carter,Simeon"
537,3,"Cox,Austin"
538,1,"Peebles-Jennings,Justin"
539,1,"Dalton,Spenser"
540,2,"Felder,Isaiah"
541,2,"Baxter,Jason"
542,1,"Jordan,Brandon"
543,4,"Welcome,Ta'Jon"
544,2,"Walker,Bailey"
545,3,"Diallo,Cheick"
546,2,"Manning,Evan"
547,1,"Smith,Joseff"
548,1,"Joseph,Max"
549,2,"Hines,Ryden"
550,3,"Marshall,Nick"
551,1,"Rongstad,Derek"
552,3,"Jackson,Kimani"
553,4,"Bento,James"
554,1,"Stangel,Justin"
555,1,"Rakocevic,Gligorije"
556,1,"Nelson-Ododa,Alonzo"
557,1,"Maloney,Matt"
558,1,"Clover,Chris"
559,1,"Tarca,Greg"
560,2,"Gottfried,Cameron"
561,1,"Cunningham,Nick"
562,1,"Nelson,David"
563,3,"O'Brien,Grant"
564,2,"Avery,Travis"
565,1,"Nichols,David"
566,1,"Smith,TyQuayion"
567,3,"Hill,Maurius"
568,1,"Billings,Stetson"
569,3,"Rollo,Travis"
570,5,"Emezie,John"
571,1,"Brown,Blake"
572,5,"Hood,Enoch"
573,2,"Melmed,Garvey"
574,8,"Heath,Josh"
575,1,"Kennedy,Thomas"
576,1,"Perkins,Marcellis"
577,1,"Rielly,Patrick"
578,4,"Estelle,Jevon"
579,3,"Magee,Dominic"
580,1,"Hart,Alex"
581,1,"Walters,Sam"
582,4,"Smith,Brandon"
583,2,"Saprykinas,Haroldas"
584,1,"Poole,Freddy"
585,1,"Hill,Mitch"
586,1,"Sadlon,Hunter"
587,2,"Bowles,Eric"
588,3,"Ernsthausen,Parker"
589,10,"Rogers,Jeron"
590,1,"Janssen,Jonothan"
591,1,"Brewer,Wes"
592,4,"McRoy,Curtis"
593,1,"Adgei,Pernell"
594,3,"Gresham Jr.,Donnell"
595,2,"Fraser-Pauls,Chandler"
596,13,"Williams,Austin"
597,1,"Moran,John"
598,1,"Lufile,Abednego"
599,7,"Warren,Trey"
600,5,"Farrell,Matt"
601,2,"Burston,Torey"
602,4,"Fowler,Nate"
603,2,"Coddington,Jake"
604,4,"Babic,Jake"
605,1,"Cagle,Carter"
606,1,"Jones,Jalen"
607,1,"Filipovich,Niko"
608,4,"Bosha,Zjori"
609,3,"Cooper,Davante"
610,1,"Prusator,Grant"
611,1,"Freeman,Ron"
612,1,"Schoen,Mason"
613,1,"Carter,Simeon"
614,1,"Nezlek,Stuart"
615,1,"Thomas,Jonathan"
616,7,"Tot,Oliver"
617,2,"Jackson,Jordan"
618,1,"Tate,Myles"
619,1,"Rufer,Zach"
620,2,"Kostur,Bosko"
621,4,"Smith,Amir"
622,1,"Brown,Harrison"
623,1,"Xu,Oliver"
624,1,"Walker,Luke"
625,1,"Spiers,Joshua"
626,2,"Potier,Lance"
627,2,"Dobbins,Kyle"
628,2,"Wolf,Adam"
629,1,"Leach,Grant"
630,4,"Lee,Richard"
631,1,"Joyce,Cody"
632,3,"Ellison III,Lionel"
633,3,"Hickson,Kevin"
634,1,"Powell,Nick"
635,2,"Hall,Charlie"
636,14,"Laster,Mike"
637,1,"Ibaka,Igor"
638,8,"Ringholt,James"
639,2,"Scruggs,Terrell"
640,1,"Massie,Kyle"
641,2,"Dolins,Cory"
642,1,"Molinari,David"
643,1,"Curington,R.J."
644,1,"Barry,Oumar"
645,1,"Planek,Tom"
646,1,"Woodring,Casey"
647,1,"Brantley,Jaylen"
648,4,"Cline,Ryan"
649,3,"Olesinski,Alex"
650,7,"Walker,Cameron"
651,3,"Sheffield,Marcus"
652,1,"Petras,Jakub"
653,4,"Kouassi,Willy"
654,1,"Mills,Austin"
655,2,"Stewart,Austin"
656,4,"Ariri,Aaron"
657,1,"Simon,Justin"
658,1,"Floreal,E.J."
659,1,"David,Jonny"
660,3,"Toye,Joe"
661,1,"Josephs,Carter"
662,1,"McGloin,Phillip"
663,1,"Henderson,Josh"
664,1,"Sehic,Samir"
665,1,"James,Joel"
666,1,"Nolte,Evan"
667,2,"Bradshaw,Riley"
668,3,"Sparks,Austin"
669,1,"Mayot,Duol"
670,1,"Hamilton,Eric"
671,1,"Nurger,Rauno"
672,6,"Frantz,Brett"
673,4,"Mayleben,Garrett"
674,2,"Noble,Mark"
675,2,"Mischler,Robert"
676,1,"Fleming,Desmond"
677,2,"McComber,Chris"
678,2,"Davis,CJ"
679,2,"Rayner,Khyan"
680,1,"Young,Aaron"
681,1,"Edwards,AJ"
682,1,"Anderson,Eric"
683,3,"Austin,Courtney"
684,1,"Burns,Deondre"
685,2,"Russell,Colin"
686,1,"Allen,Noah"
687,1,"Massie,Kyle"
688,2,"Giesler,Jake"
689,3,"Holley,Nigel"
690,2,"Brewer,Wes"
691,2,"Kerley,Kevin"
692,5,"Pickett,Adam"
693,1,"Burton,Ryan"
694,3,"Parke,Daniel"
695,1,"Smith,Charles"
696,1,"Fuller,Khalil"
697,3,"Meyer,Daniel"
698,2,"Atencia,Hansel"
699,2,"Zilli,Giacomo"
700,1,"Cannon,John"
701,3,"Begley,Devon"
702,1,"Caldwell,Tevin"
703,1,"Shaw,Martin"
704,1,"Vassor,Stephen"
705,2,"Bedart-Ghani,Khalil"
706,1,"Soffer,Dalton"
707,2,"Ukawuba,Rob"
708,7,"Izevbuwa,Osa"
709,1,"Walsh,Reilly"
710,1,"Bryant,Tre'"
711,1,"Dhillon,Samer"
712,1,"Romich,Drew"
713,1,"Harrison,James"
714,5,"Henderson,Markell"
715,1,"Wrencher,Patrick"
716,1,"Brittingham,Bruce"
717,3,"Batish,Jamie"
718,2,"Morgan,Jalen"
719,3,"Jackson II,William"
720,1,"Rivers,Spencer"
721,1,"Davis,Jay Jay"
722,3,"Amiel,Francisco"
723,2,"Leek,Deng"
724,1,"Schurman,John"
725,2,"Miller,Rayshawn"
726,4,"Ash,Jordan"
727,1,"Van Zegeren,Joey"
728,2,"Thompson,Robin"
729,2,"Peebles-Jennings,Justin"
730,1,"Rodriguez,Kaileb"
731,2,"Dillard,Davon"
732,1,"Ibaka,Igor"
733,3,"Cole,C.J."
734,1,"Mankin,Austin"
735,1,"Alade,Bola"
736,1,"Heller,Max"
737,1,"Noebel,Charlie"
738,1,"Sorkin,Roman"
739,3,"Henderson,Jay"
740,2,"Swan,Anthony"
741,2,"Avery,Travis"
742,1,"Steel,Josh"
743,3,"Aja,Kanu"
744,2,"Sinnickson,Dylan"
745,1,"Bridgewater,Brian"
746,2,"Lindsey,Jake"
747,5,"Starr,Austin"
748,1,"Galloway,Matt"
749,1,"Gehan,Gordon"
750,1,"Perpiglia,Steve"
751,2,"Brown,Harris"
752,1,"Vucetic,Sergej"
753,1,"Howard,David"
754,1,"McBride,D'Angelo"
755,3,"Pauga,Austin"
756,5,"Jacobs,Tim"
757,1,"Martin,Jordan"
758,1,"Perry,Trent"
759,1,"Price,Jodan"
760,7,"Glenn,Montae"
761,2,"Clark,Christian"
762,3,"Maloney,Matt"
763,1,"Lawrence-Ricks,Phillip"
764,1,"Daugherty,Kyle"
765,1,"Clyburn,Courtney"
766,6,"Jackson,Aaron"
767,7,"Sharp,Stephon"
768,1,"Haugh,Darin"
769,1,"Coddington,Jake"
770,8,"Bess,Javon"
771,1,"Wills,Javonte"
772,1,"Tripp,Isaiah"
773,2,"Ulvydas,Rokas"
774,2,"Wells,Nate"
775,1,"Watson,Devontae"
776,1,"Wood,Nick"
777,3,"Green,Rashawn"
778,1,"Spicer,Johnathan"
779,4,"Milligan,Boo"
780,3,"Palmer,James"
781,4,"Strollo,Ryan"
782,4,"Owona,Mike"
783,1,"Bremers,Arturs"
784,1,"Redmond,Jamar"
785,1,"LaRose,Kinnon"
786,6,"Azzinaro,John"
787,2,"Staubi,Matt"
788,5,"Rivera,Lonnie"
789,4,"Alston,Shawn"
790,5,"Nurger,Rauno"
791,3,"Bush,Zach"
792,7,"Orender,Jacob"
793,3,"Pirovic,Marko"
794,1,"Melmed,Garvey"
795,4,"Dawkins,Aubrey"
796,5,"Sparks,Austin"
797,4,"Marquetti,Malik"
798,2,"Gavrilovic,Strahinja"
